prAtipadika	antya	nAmapada	liNgam	viBakti	vacanam	rUpam
rAma	a	nAma	puM	praTamA	eka	rAmaH
rAma	a	nAma	puM	praTamA	dvi	rAmO
rAma	a	nAma	puM	praTamA	bahu	rAmAH
rAma	a	nAma	puM	dvitIyA	eka	rAmam
rAma	a	nAma	puM	dvitIyA	dvi	rAmO
rAma	a	nAma	puM	dvitIyA	bahu	rAmAn
rAma	a	nAma	puM	tftIyA	eka	rAmeRa
rAma	a	nAma	puM	tftIyA	dvi	rAmAByAm
rAma	a	nAma	puM	tftIyA	bahu	rAmEH
rAma	a	nAma	puM	caturTI	eka	rAmAya
rAma	a	nAma	puM	caturTI	dvi	rAmAByAm
rAma	a	nAma	puM	caturTI	bahu	rAmeByaH
rAma	a	nAma	puM	paYcamI	eka	rAmAt
rAma	a	nAma	puM	paYcamI	dvi	rAmAByAm
rAma	a	nAma	puM	paYcamI	bahu	rAmeByaH
rAma	a	nAma	puM	zazWI	eka	rAmasya
rAma	a	nAma	puM	zazWI	dvi	rAmayoH
rAma	a	nAma	puM	zazWI	bahu	rAmARAm
rAma	a	nAma	puM	saptamI	eka	rAme
rAma	a	nAma	puM	saptamI	dvi	rAmayoH
rAma	a	nAma	puM	saptamI	bahu	rAmezu
rAma	a	nAma	puM	samboDana	eka	rAma
rAma	a	nAma	puM	samboDana	dvi	he rAmO
rAma	a	nAma	puM	samboDana	bahu	rAmAH
hari	i 	nAma	puM	praTamA	eka	hariH
hari	i 	nAma	puM	praTamA	dvi	harI
hari	i 	nAma	puM	praTamA	bahu	harayaH
hari	i 	nAma	puM	dvitIyA	eka	harim
hari	i 	nAma	puM	dvitIyA	dvi	harI
hari	i 	nAma	puM	dvitIyA	bahu	harIn
hari	i 	nAma	puM	tftIyA	eka	hariRA
hari	i 	nAma	puM	tftIyA	dvi	hariByAm
hari	i 	nAma	puM	tftIyA	bahu	hariBiH
hari	i 	nAma	puM	caturTI	eka	haraye
hari	i 	nAma	puM	caturTI	dvi	hariByAm
hari	i 	nAma	puM	caturTI	bahu	hariByaH
hari	i 	nAma	puM	paYcamI	eka	hareH
hari	i 	nAma	puM	paYcamI	dvi	hariByAm
hari	i 	nAma	puM	paYcamI	bahu	hariByaH
hari	i 	nAma	puM	zazWI	eka	hareH
hari	i 	nAma	puM	zazWI	dvi	haryyOH
hari	i 	nAma	puM	zazWI	bahu	harIRAm
hari	i 	nAma	puM	saptamI	eka	harO
hari	i 	nAma	puM	saptamI	dvi	haryyOH
hari	i 	nAma	puM	saptamI	bahu	harizu
hari	i 	nAma	puM	samboDana	eka	hare
hari	i 	nAma	puM	samboDana	dvi	he harI
hari	i 	nAma	puM	samboDana	bahu	harayaH
guru	u	nAma	puM	praTamA	eka	guruH
guru	u	nAma	puM	praTamA	dvi	gurU
guru	u	nAma	puM	praTamA	bahu	guravaH
guru	u	nAma	puM	dvitIyA	eka	gurum
guru	u	nAma	puM	dvitIyA	dvi	gurU
guru	u	nAma	puM	dvitIyA	bahu	gurUn
guru	u	nAma	puM	tftIyA	eka	guruRA
guru	u	nAma	puM	tftIyA	dvi	guruByAm
guru	u	nAma	puM	tftIyA	bahu	guruBiH
guru	u	nAma	puM	caturTI	eka	gurave
guru	u	nAma	puM	caturTI	dvi	guruByAm
guru	u	nAma	puM	caturTI	bahu	guruByaH
guru	u	nAma	puM	paYcamI	eka	guroH
guru	u	nAma	puM	paYcamI	dvi	guruByAm
guru	u	nAma	puM	paYcamI	bahu	guruByaH
guru	u	nAma	puM	zazWI	eka	guroH
guru	u	nAma	puM	zazWI	dvi	gurvoH
guru	u	nAma	puM	zazWI	bahu	gurURAm
guru	u	nAma	puM	saptamI	eka	gurO
guru	u	nAma	puM	saptamI	dvi	gurvoH
guru	u	nAma	puM	saptamI	bahu	guruzu
guru	u	nAma	puM	samboDana	eka	guro
guru	u	nAma	puM	samboDana	dvi	he gurU
guru	u	nAma	puM	samboDana	bahu	guravaH
pitf	f	nAma	puM	praTamA	eka	pitA
pitf	f	nAma	puM	praTamA	dvi	pitarO
pitf	f	nAma	puM	praTamA	bahu	pitaraH
pitf	f	nAma	puM	dvitIyA	eka	pitaram
pitf	f	nAma	puM	dvitIyA	dvi	pitarO
pitf	f	nAma	puM	dvitIyA	bahu	pitFn
pitf	f	nAma	puM	tftIyA	eka	pitrA
pitf	f	nAma	puM	tftIyA	dvi	pitfByAm
pitf	f	nAma	puM	tftIyA	bahu	pitfBiH
pitf	f	nAma	puM	caturTI	eka	pitre
pitf	f	nAma	puM	caturTI	dvi	pitarAByAm
pitf	f	nAma	puM	caturTI	bahu	pitfByaH
pitf	f	nAma	puM	paYcamI	eka	pituH
pitf	f	nAma	puM	paYcamI	dvi	pitfByAm
pitf	f	nAma	puM	paYcamI	bahu	pitfByaH
pitf	f	nAma	puM	zazWI	eka	pituH
pitf	f	nAma	puM	zazWI	dvi	pitroH
pitf	f	nAma	puM	zazWI	bahu	pitFRAm
pitf	f	nAma	puM	saptamI	eka	pitari
pitf	f	nAma	puM	saptamI	dvi	pitroH
pitf	f	nAma	puM	saptamI	bahu	pitfzu
pitf	f	nAma	puM	samboDana	eka	pitaH
pitf	f	nAma	puM	samboDana	dvi	pitarO
pitf	f	nAma	puM	samboDana	bahu	pitaraH
rE	E	nAma	puM	praTamA	eka	rAH
rE	E	nAma	puM	praTamA	dvi	rAyO
rE	E	nAma	puM	praTamA	bahu	rAyaH
rE	E	nAma	puM	dvitIyA	eka	rAyam
rE	E	nAma	puM	dvitIyA	dvi	rAyO
rE	E	nAma	puM	dvitIyA	bahu	rAyaH
rE	E	nAma	puM	tftIyA	eka	rAyA
rE	E	nAma	puM	tftIyA	dvi	rAByAm
rE	E	nAma	puM	tftIyA	bahu	rABiH
rE	E	nAma	puM	caturTI	eka	rAyE
rE	E	nAma	puM	caturTI	dvi	rAByAm
rE	E	nAma	puM	caturTI	bahu	rAByaH
rE	E	nAma	puM	paYcamI	eka	rAyaH
rE	E	nAma	puM	paYcamI	dvi	rAByAm
rE	E	nAma	puM	paYcamI	bahu	rAByaH
rE	E	nAma	puM	zazWI	eka	rAyaH
rE	E	nAma	puM	zazWI	dvi	rAyoH
rE	E	nAma	puM	zazWI	bahu	rAyAm
rE	E	nAma	puM	saptamI	eka	rAyi
rE	E	nAma	puM	saptamI	dvi	rAyoH
rE	E	nAma	puM	saptamI	bahu	rAsu
rE	E	nAma	puM	samboDana	eka	rAH
rE	E	nAma	puM	samboDana	dvi	rAyO
rE	E	nAma	puM	samboDana	bahu	rAyaH
go	o	nAma	puM	praTamA	eka	gOH
go	o	nAma	puM	praTamA	dvi	gAvO
go	o	nAma	puM	praTamA	bahu	gAvaH
go	o	nAma	puM	dvitIyA	eka	gAm
go	o	nAma	puM	dvitIyA	dvi	gAvO
go	o	nAma	puM	dvitIyA	bahu	gAH
go	o	nAma	puM	tftIyA	eka	gavA
go	o	nAma	puM	tftIyA	dvi	goByAm
go	o	nAma	puM	tftIyA	bahu	goBiH
go	o	nAma	puM	caturTI	eka	gave
go	o	nAma	puM	caturTI	dvi	goByAm
go	o	nAma	puM	caturTI	bahu	goByaH
go	o	nAma	puM	paYcamI	eka	goH
go	o	nAma	puM	paYcamI	dvi	goByAm
go	o	nAma	puM	paYcamI	bahu	goByaH
go	o	nAma	puM	zazWI	eka	goH
go	o	nAma	puM	zazWI	dvi	gavoH
go	o	nAma	puM	zazWI	bahu	gavAm
go	o	nAma	puM	saptamI	eka	gavi
go	o	nAma	puM	saptamI	dvi	gavoH
go	o	nAma	puM	saptamI	bahu	gozu
go	o	nAma	puM	samboDana	eka	gOH
go	o	nAma	puM	samboDana	dvi	gAvO
go	o	nAma	puM	samboDana	bahu	gAvaH
glO	O	nAma	puM	praTamA	eka	glOH
glO	O	nAma	puM	praTamA	dvi	glAvO
glO	O	nAma	puM	praTamA	bahu	glAvaH
glO	O	nAma	puM	dvitIyA	eka	glAvam
glO	O	nAma	puM	dvitIyA	dvi	glAvO
glO	O	nAma	puM	dvitIyA	bahu	glAvaH
glO	O	nAma	puM	tftIyA	eka	glAvA
glO	O	nAma	puM	tftIyA	dvi	glOByAm
glO	O	nAma	puM	tftIyA	bahu	glOBiH
glO	O	nAma	puM	caturTI	eka	glAve
glO	O	nAma	puM	caturTI	dvi	glOByAm
glO	O	nAma	puM	caturTI	bahu	glOByaH
glO	O	nAma	puM	paYcamI	eka	glAvaH
glO	O	nAma	puM	paYcamI	dvi	glOByAm
glO	O	nAma	puM	paYcamI	bahu	glOByaH
glO	O	nAma	puM	zazWI	eka	glAvaH
glO	O	nAma	puM	zazWI	dvi	glAvoH
glO	O	nAma	puM	zazWI	bahu	glAvAm
glO	O	nAma	puM	saptamI	eka	glAvi
glO	O	nAma	puM	saptamI	dvi	glAvoH
glO	O	nAma	puM	saptamI	bahu	glOzu
glO	O	nAma	puM	samboDana	eka	glOH
glO	O	nAma	puM	samboDana	dvi	glAvO
glO	O	nAma	puM	samboDana	bahu	glAvaH
payomuc	c	nAma	puM	praTamA	eka	payomuk
payomuc	c	nAma	puM	praTamA	dvi	payomucO
payomuc	c	nAma	puM	praTamA	bahu	payomucaH
payomuc	c	nAma	puM	dvitIyA	eka	payomucam
payomuc	c	nAma	puM	dvitIyA	dvi	payomucO
payomuc	c	nAma	puM	dvitIyA	bahu	payomucaH
payomuc	c	nAma	puM	tftIyA	eka	payomucA
payomuc	c	nAma	puM	tftIyA	dvi	payomugByAm
payomuc	c	nAma	puM	tftIyA	bahu	payomugBiH
payomuc	c	nAma	puM	caturTI	eka	payomuce
payomuc	c	nAma	puM	caturTI	dvi	payomugByAm
payomuc	c	nAma	puM	caturTI	bahu	payomugByaH
payomuc	c	nAma	puM	paYcamI	eka	payomucaH
payomuc	c	nAma	puM	paYcamI	dvi	payomugByAm
payomuc	c	nAma	puM	paYcamI	bahu	payomugByaH
payomuc	c	nAma	puM	zazWI	eka	payomucaH
payomuc	c	nAma	puM	zazWI	dvi	payomucoH
payomuc	c	nAma	puM	zazWI	bahu	payomucAm
payomuc	c	nAma	puM	saptamI	eka	payomuci
payomuc	c	nAma	puM	saptamI	dvi	payomucoH
payomuc	c	nAma	puM	saptamI	bahu	payomukzu
payomuc	c	nAma	puM	samboDana	eka	payomuk
payomuc	c	nAma	puM	samboDana	dvi	payOmucO
payomuc	c	nAma	puM	samboDana	bahu	payomucaH
vaRij	j	nAma	puM	praTamA	eka	vaRik
vaRij	j	nAma	puM	praTamA	dvi	vaRijO
vaRij	j	nAma	puM	praTamA	bahu	vaRijaH
vaRij	j	nAma	puM	dvitIyA	eka	vaRijam
vaRij	j	nAma	puM	dvitIyA	dvi	vaRijO
vaRij	j	nAma	puM	dvitIyA	bahu	vaRijaH
vaRij	j	nAma	puM	tftIyA	eka	vaRijA
vaRij	j	nAma	puM	tftIyA	dvi	vaRigByAm
vaRij	j	nAma	puM	tftIyA	bahu	vaRigBiH
vaRij	j	nAma	puM	caturTI	eka	vaRije
vaRij	j	nAma	puM	caturTI	dvi	vaRigByAm
vaRij	j	nAma	puM	caturTI	bahu	vaRigByaH
vaRij	j	nAma	puM	paYcamI	eka	vaRijaH
vaRij	j	nAma	puM	paYcamI	dvi	vaRigByAm
vaRij	j	nAma	puM	paYcamI	bahu	vaRigByaH
vaRij	j	nAma	puM	zazWI	eka	vaRijaH
vaRij	j	nAma	puM	zazWI	dvi	vaRijoH
vaRij	j	nAma	puM	zazWI	bahu	vaRijAm
vaRij	j	nAma	puM	saptamI	eka	vaRiji
vaRij	j	nAma	puM	saptamI	dvi	vaRijoH
vaRij	j	nAma	puM	saptamI	bahu	vaRikzu
vaRij	j	nAma	puM	samboDana	eka	vaRik
vaRij	j	nAma	puM	samboDana	dvi	vaRijO
vaRij	j	nAma	puM	samboDana	bahu	vaRijaH
marut	t	nAma	puM	praTamA	eka	marut
marut	t	nAma	puM	praTamA	dvi	marutO
marut	t	nAma	puM	praTamA	bahu	marutaH
marut	t	nAma	puM	dvitIyA	eka	marutam
marut	t	nAma	puM	dvitIyA	dvi	marutO
marut	t	nAma	puM	dvitIyA	bahu	marutaH
marut	t	nAma	puM	tftIyA	eka	marutA
marut	t	nAma	puM	tftIyA	dvi	marudByAm
marut	t	nAma	puM	tftIyA	bahu	marudBiH
marut	t	nAma	puM	caturTI	eka	marute
marut	t	nAma	puM	caturTI	dvi	marudByAm
marut	t	nAma	puM	caturTI	bahu	marudByaH
marut	t	nAma	puM	paYcamI	eka	marutaH
marut	t	nAma	puM	paYcamI	dvi	marudByAm
marut	t	nAma	puM	paYcamI	bahu	marudByaH
marut	t	nAma	puM	zazWI	eka	marutaH
marut	t	nAma	puM	zazWI	dvi	marutoH
marut	t	nAma	puM	zazWI	bahu	marutAm
marut	t	nAma	puM	saptamI	eka	maruti
marut	t	nAma	puM	saptamI	dvi	marutoH
marut	t	nAma	puM	saptamI	bahu	marutsu
marut	t	nAma	puM	samboDana	eka	marut
marut	t	nAma	puM	samboDana	dvi	marutO
marut	t	nAma	puM	samboDana	bahu	marutaH
suhft	d	nAma	puM	praTamA	eka	suhft
suhft	d	nAma	puM	praTamA	dvi	suhfdO
suhft	d	nAma	puM	praTamA	bahu	suhfdaH
suhft	d	nAma	puM	dvitIyA	eka	suhfdam
suhft	d	nAma	puM	dvitIyA	dvi	suhfdO
suhft	d	nAma	puM	dvitIyA	bahu	suhfdaH
suhft	d	nAma	puM	tftIyA	eka	suhfdA
suhft	d	nAma	puM	tftIyA	dvi	suhfdByAm
suhft	d	nAma	puM	tftIyA	bahu	suhfdBiH
suhft	d	nAma	puM	caturTI	eka	suhfde
suhft	d	nAma	puM	caturTI	dvi	suhfdByAm
suhft	d	nAma	puM	caturTI	bahu	suhfdByaH
suhft	d	nAma	puM	paYcamI	eka	suhfdaH
suhft	d	nAma	puM	paYcamI	dvi	suhfdByAm
suhft	d	nAma	puM	paYcamI	bahu	suhfdByaH
suhft	d	nAma	puM	zazWI	eka	suhfdaH
suhft	d	nAma	puM	zazWI	dvi	suhfdoH
suhft	d	nAma	puM	zazWI	bahu	suhfdAm
suhft	d	nAma	puM	saptamI	eka	suhfdi
suhft	d	nAma	puM	saptamI	dvi	suhfdoH
suhft	d	nAma	puM	saptamI	bahu	suhftsu
suhft	d	nAma	puM	samboDana	eka	suhft
suhft	d	nAma	puM	samboDana	dvi	suhfdO
suhft	d	nAma	puM	samboDana	bahu	suhfdaH
buD	D	nAma	puM	praTamA	eka	But
buD	D	nAma	puM	praTamA	dvi	buDO
buD	D	nAma	puM	praTamA	bahu	buDaH
buD	D	nAma	puM	dvitIyA	eka	buDam
buD	D	nAma	puM	dvitIyA	dvi	buDO
buD	D	nAma	puM	dvitIyA	bahu	buDaH
buD	D	nAma	puM	tftIyA	eka	buDA
buD	D	nAma	puM	tftIyA	dvi	BudByAm
buD	D	nAma	puM	tftIyA	bahu	BudBiH
buD	D	nAma	puM	caturTI	eka	buDe
buD	D	nAma	puM	caturTI	dvi	BudByAm
buD	D	nAma	puM	caturTI	bahu	BudByaH
buD	D	nAma	puM	paYcamI	eka	buDaH
buD	D	nAma	puM	paYcamI	dvi	BudByAm
buD	D	nAma	puM	paYcamI	bahu	BudByaH
buD	D	nAma	puM	zazWI	eka	buDaH
buD	D	nAma	puM	zazWI	dvi	buDoH
buD	D	nAma	puM	zazWI	bahu	buDAm
buD	D	nAma	puM	saptamI	eka	buDi
buD	D	nAma	puM	saptamI	dvi	buDoH
buD	D	nAma	puM	saptamI	bahu	Butsu
buD	D	nAma	puM	samboDana	eka	But
buD	D	nAma	puM	samboDana	dvi	buDO
buD	D	nAma	puM	samboDana	bahu	buDaH
Atman 	n	nAma	puM	praTamA	eka	AtmA
Atman 	n	nAma	puM	praTamA	dvi	AtmAnO
Atman 	n	nAma	puM	praTamA	bahu	AtmAnaH
Atman 	n	nAma	puM	dvitIyA	eka	AtmAnam
Atman 	n	nAma	puM	dvitIyA	dvi	AtmAnO
Atman 	n	nAma	puM	dvitIyA	bahu	AtmanaH
Atman 	n	nAma	puM	tftIyA	eka	AtmanA
Atman 	n	nAma	puM	tftIyA	dvi	AtmaByAm
Atman 	n	nAma	puM	tftIyA	bahu	AtmaBiH
Atman 	n	nAma	puM	caturTI	eka	Atmane
Atman 	n	nAma	puM	caturTI	dvi	AtmaByAm
Atman 	n	nAma	puM	caturTI	bahu	AtmaByaH
Atman 	n	nAma	puM	paYcamI	eka	AtmanaH
Atman 	n	nAma	puM	paYcamI	dvi	AtmaByAm
Atman 	n	nAma	puM	paYcamI	bahu	AtmaByaH
Atman 	n	nAma	puM	zazWI	eka	AtmanaH
Atman 	n	nAma	puM	zazWI	dvi	AtmanoH
Atman 	n	nAma	puM	zazWI	bahu	AtmanAm
Atman 	n	nAma	puM	saptamI	eka	Atmani
Atman 	n	nAma	puM	saptamI	dvi	AtmanoH
Atman 	n	nAma	puM	saptamI	bahu	Atmasu
Atman 	n	nAma	puM	samboDana	eka	Atman
Atman 	n	nAma	puM	samboDana	dvi	he AtmAnO
Atman 	n	nAma	puM	samboDana	bahu	AtmAnaH
tAdfS	S	nAma	puM	praTamA	eka	tAdfk
tAdfS	S	nAma	puM	praTamA	dvi	tAdfSO
tAdfS	S	nAma	puM	praTamA	bahu	tAdfSaH
tAdfS	S	nAma	puM	dvitIyA	eka	tAdfSam
tAdfS	S	nAma	puM	dvitIyA	dvi	tAdfSO
tAdfS	S	nAma	puM	dvitIyA	bahu	tAdfSaH
tAdfS	S	nAma	puM	tftIyA	eka	tAdfSA
tAdfS	S	nAma	puM	tftIyA	dvi	tAdfgByAm
tAdfS	S	nAma	puM	tftIyA	bahu	tAdfgBiH
tAdfS	S	nAma	puM	caturTI	eka	tAdfSe
tAdfS	S	nAma	puM	caturTI	dvi	tAdfgByAm
tAdfS	S	nAma	puM	caturTI	bahu	tAdfgByaH
tAdfS	S	nAma	puM	paYcamI	eka	tAdfSaH
tAdfS	S	nAma	puM	paYcamI	dvi	tAdfgByAm
tAdfS	S	nAma	puM	paYcamI	bahu	tAdfgByaH
tAdfS	S	nAma	puM	zazWI	eka	tAdfSaH
tAdfS	S	nAma	puM	zazWI	dvi	tAdfSoH
tAdfS	S	nAma	puM	zazWI	bahu	tAdfSAm
tAdfS	S	nAma	puM	saptamI	eka	tAdfSi
tAdfS	S	nAma	puM	saptamI	dvi	tAdfSoH
tAdfS	S	nAma	puM	saptamI	bahu	tAdfSu
tAdfS	S	nAma	puM	samboDana	eka	tAdfk
tAdfS	S	nAma	puM	samboDana	dvi	tAdfSO
tAdfS	S	nAma	puM	samboDana	bahu	tAdfSaH
candramas	s	nAma	puM	praTamA	eka	candramAH
candramas	s	nAma	puM	praTamA	dvi	candramasO
candramas	s	nAma	puM	praTamA	bahu	candramasaH
candramas	s	nAma	puM	dvitIyA	eka	candramasam
candramas	s	nAma	puM	dvitIyA	dvi	candramasO
candramas	s	nAma	puM	dvitIyA	bahu	candramasaH
candramas	s	nAma	puM	tftIyA	eka	candramasA
candramas	s	nAma	puM	tftIyA	dvi	candramoByAm
candramas	s	nAma	puM	tftIyA	bahu	candramoBiH
candramas	s	nAma	puM	caturTI	eka	candramase
candramas	s	nAma	puM	caturTI	dvi	candramoByAm
candramas	s	nAma	puM	caturTI	bahu	candramoByaH
candramas	s	nAma	puM	paYcamI	eka	candramasaH
candramas	s	nAma	puM	paYcamI	dvi	candramoByAm
candramas	s	nAma	puM	paYcamI	bahu	candramoByaH
candramas	s	nAma	puM	zazWI	eka	candramasaH
candramas	s	nAma	puM	zazWI	dvi	candramasoH
candramas	s	nAma	puM	zazWI	bahu	candramasAm
candramas	s	nAma	puM	saptamI	eka	candramasi
candramas	s	nAma	puM	saptamI	dvi	candramasoH
candramas	s	nAma	puM	saptamI	bahu	candramassu
candramas	s	nAma	puM	samboDana	eka	candramaH
candramas	s	nAma	puM	samboDana	dvi	he candramasO
candramas	s	nAma	puM	samboDana	bahu	candramasaH
anaquh	h	nAma	puM	praTamA	eka	anaqvAn
anaquh	h	nAma	puM	praTamA	dvi	anaqvAhO
anaquh	h	nAma	puM	praTamA	bahu	anaqvAhaH
anaquh	h	nAma	puM	dvitIyA	eka	anaqvAham
anaquh	h	nAma	puM	dvitIyA	dvi	anaqvAhO
anaquh	h	nAma	puM	dvitIyA	bahu	anaquhaH
anaquh	h	nAma	puM	tftIyA	eka	anaquhA
anaquh	h	nAma	puM	tftIyA	dvi	anaqudByAm
anaquh	h	nAma	puM	tftIyA	bahu	anaqudBiH
anaquh	h	nAma	puM	caturTI	eka	anaquhe
anaquh	h	nAma	puM	caturTI	dvi	anaqudByAm
anaquh	h	nAma	puM	caturTI	bahu	anaqudByaH
anaquh	h	nAma	puM	paYcamI	eka	anaquhaH
anaquh	h	nAma	puM	paYcamI	dvi	anaqudByAm
anaquh	h	nAma	puM	paYcamI	bahu	anaqudByaH
anaquh	h	nAma	puM	zazWI	eka	anaquhaH
anaquh	h	nAma	puM	zazWI	dvi	anaquhoH
anaquh	h	nAma	puM	zazWI	bahu	anaquhAm
anaquh	h	nAma	puM	saptamI	eka	anaquhi
anaquh	h	nAma	puM	saptamI	dvi	anaquhoH
anaquh	h	nAma	puM	saptamI	bahu	anaqutsu
anaquh	h	nAma	puM	samboDana	eka	anaquvan
anaquh	h	nAma	puM	samboDana	dvi	anaqvAhO
anaquh	h	nAma	puM	samboDana	bahu	anaqvAhaH
kartf	tfc	nAma	puM	praTamA	eka	kartA
kartf	tfc	nAma	puM	praTamA	dvi	kartArO
kartf	tfc	nAma	puM	praTamA	bahu	kartAraH
